Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"NVDA","NVIDIA Corp","187,310,410.00","8.87%","Common Stock","67066G104","$37,439,604,750.80"
"AAPL","Apple Inc","113,165,853.00","7.13%","Common Stock","037833100","$30,121,355,093.01"
"MSFT","Microsoft Corp","57,238,594.00","5.75%","Common Stock","594918104","$24,278,322,031.04"
"AMZN","Amazon.com Inc","82,747,428.00","4.90%","Common Stock","023135106","$20,679,409,731.48"
"META","Meta Platforms Inc","22,734,420.00","3.60%","Common Stock","30303M102","$15,205,689,472.80"
"GOOGL","Alphabet Inc","44,877,408.00","3.53%","Common Stock","02079K305","$14,912,313,904.32"
"TSLA","Tesla Inc","38,472,581.00","3.52%","Common Stock","88160R101","$14,866,574,750.02"
"AVGO","Broadcom Inc","36,546,921.00","3.48%","Common Stock","11135F101","$14,698,075,218.57"
"GOOG","Alphabet Inc","41,917,442.00","3.28%","Common Stock","02079K107","$13,852,457,057.74"
"WMT","Walmart Inc","104,000,754.00","3.19%","Common Stock","931142103","$13,478,497,718.40"
"MU","Micron Technology Inc","23,950,916.00","2.55%","Common Stock","595112103","$10,763,062,632.08"
"AMD","Advanced Micro Devices Inc","34,695,267.00","2.34%","Common Stock","007903107","$9,870,456,508.83"
"COST","Costco Wholesale Corp","9,445,579.00","2.25%","Common Stock","22160K105","$9,500,457,813.99"
"NFLX","Netflix Inc","89,847,931.00","1.97%","Common Stock","64110L106","$8,318,121,451.98"
"CSCO","Cisco Systems Inc","84,054,017.00","1.79%","Common Stock","17275R102","$7,539,645,324.90"
"PLTR","Palantir Technologies Inc","48,762,673.00","1.69%","Common Stock","69608A108","$7,117,887,377.81"
"INTC","Intel Corp","106,293,973.00","1.67%","Common Stock","458140100","$7,043,038,650.98"
"LRCX","Lam Research Corp","26,573,941.00","1.63%","Common Stock","512807306","$6,865,909,136.17"
"AMAT","Applied Materials Inc","16,888,086.00","1.58%","Common Stock","038222105","$6,659,478,952.38"
"KLAC","KLA Corp","2,789,319.00","1.18%","Common Stock","482480100","$4,979,966,463.03"
"LIN","Linde PLC","9,861,061.00","1.16%","Common Stock","G54950103","$4,879,647,425.24"
"TMUS","T-Mobile US Inc","23,447,727.00","1.08%","Common Stock","872590104","$4,581,451,378.53"
"PEP","PepsiCo Inc","29,082,386.00","1.07%","Common Stock","713448108","$4,505,443,239.12"
"TXN","Texas Instruments Inc","19,312,741.00","1.07%","Common Stock","882508104","$4,502,765,564.15"
"AMGN","Amgen Inc","11,471,398.00","0.94%","Common Stock","031162100","$3,956,026,314.28"
"ADI","Analog Devices Inc","10,389,026.00","0.92%","Common Stock","032654105","$3,898,689,787.02"
"GILD","Gilead Sciences Inc","26,417,523.00","0.83%","Common Stock","375558103","$3,521,191,640.67"
"SHOP","Shopify Inc","26,090,177.00","0.81%","Common Stock","82509L107","$3,421,204,910.01"
"ISRG","Intuitive Surgical Inc","7,557,199.00","0.81%","Common Stock","46120E602","$3,410,488,336.71"
"BKNG","Booking Holdings Inc","16,850,272.00","0.76%","Common Stock","09857L108","$3,216,042,913.92"
"APP","AppLovin Corp","6,534,472.00","0.73%","Common Stock","03831W108","$3,091,981,460.96"
"QCOM","QUALCOMM Inc","22,705,834.00","0.73%","Common Stock","747525103","$3,078,002,857.04"
"PANW","Palo Alto Networks Inc","17,364,538.00","0.72%","Common Stock","697435105","$3,038,099,568.48"
"HON","Honeywell International Inc","13,527,224.00","0.71%","Common Stock","438516106","$3,006,019,717.28"
"SNDK","Sandisk Corp/DE","3,140,956.00","0.67%","Common Stock","80004C200","$2,837,822,336.44"
"MRVL","Marvell Technology Inc","18,538,929.00","0.66%","Common Stock","573874104","$2,805,125,346.99"
"WDC","Western Digital Corp","7,214,750.00","0.66%","Common Stock","958102105","$2,769,093,197.50"
"ASML","ASML Holding NV","1,870,605.00","0.65%","American Depository Receipt - NY","N07059210","$2,729,156,576.85"
"STX","Seagate Technology Holdings PLC","4,640,617.00","0.62%","Common Stock","G7997R103","$2,598,281,458.30"
"CRWD","Crowdstrike Holdings Inc","5,364,667.00","0.57%","Common Stock","22788C105","$2,412,007,929.87"
"INTU","Intuit Inc","5,885,011.00","0.56%","Common Stock","461202103","$2,382,546,703.35"
"SBUX","Starbucks Corp","24,244,392.00","0.56%","Common Stock","855244109","$2,371,101,537.60"
"VRTX","Vertex Pharmaceuticals Inc","5,405,862.00","0.56%","Common Stock","92532F100","$2,360,145,290.58"
"CMCSA","Comcast Corp","76,361,464.00","0.53%","Common Stock","20030N101","$2,218,300,529.20"
"ADBE","Adobe Inc","8,674,550.00","0.51%","Common Stock","00724F101","$2,144,175,269"
"CEG","Constellation Energy Corp","7,703,184.00","0.51%","Common Stock","21037T109","$2,139,174,196.80"
"MAR","Marriott International Inc/MD","5,638,883.00","0.50%","Common Stock","571903202","$2,117,118,622.35"
"MELI","MercadoLibre Inc","1,078,847.00","0.47%","Common Stock","58733R102","$2,000,376,530.46"
"CDNS","Cadence Design Systems Inc","5,875,266.00","0.45%","Common Stock","127387108","$1,914,396,673.44"
"SNPS","Synopsys Inc","4,076,459.00","0.45%","Common Stock","871607107","$1,906,070,699.22"
"ADP","Automatic Data Processing Inc","8,568,306.00","0.41%","Common Stock","053015103","$1,738,252,238.22"
"CSX","CSX Corp","39,571,516.00","0.41%","Common Stock","126408103","$1,716,216,648.92"
"ORLY","O'Reilly Automotive Inc","17,843,074.00","0.40%","Common Stock","67103H107","$1,673,858,771.94"
"REGN","Regeneron Pharmaceuticals Inc","2,211,053.00","0.39%","Common Stock","75886F107","$1,652,452,570.08"
